# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
票,票,piào,"ticket
ballot",果果：小北哥哥，你能借我一元五角钱买地铁票吗？我忘记带钱包了。,果果：小北哥哥，你能借我一元五角錢買地鐵票嗎？我忘記帶錢包了。,guǒ guǒ ： xiǎo běi gē ge ， nǐ néng jiè wǒ yì yuán wǔ jiǎo qián mǎi dì tiě piào ma ？ wǒ wàng jì dài qián bāo le 。,"Guoguo: Older Brother Xiaobei, could you lend me one yuan and five jiao to buy a subway ticket? I forgot to bring my wallet."
地铁,地鐵,dì tiě,"subway
metro",果果：小北哥哥，你能借我一元五角钱买地铁票吗？我忘记带钱包了。,果果：小北哥哥，你能借我一元五角錢買地鐵票嗎？我忘記帶錢包了。,guǒ guǒ ： xiǎo běi gē ge ， nǐ néng jiè wǒ yì yuán wǔ jiǎo qián mǎi dì tiě piào ma ？ wǒ wàng jì dài qián bāo le 。,"Guoguo: Older Brother Xiaobei, could you lend me one yuan and five jiao to buy a subway ticket? I forgot to bring my wallet."
角,角,jiǎo,"unit of money equal to 0.1 yuan, or 10 cents (a dime)",果果：小北哥哥，你能借我一元五角钱买地铁票吗？我忘记带钱包了。,果果：小北哥哥，你能借我一元五角錢買地鐵票嗎？我忘記帶錢包了。,guǒ guǒ ： xiǎo běi gē ge ， nǐ néng jiè wǒ yì yuán wǔ jiǎo qián mǎi dì tiě piào ma ？ wǒ wàng jì dài qián bāo le 。,"Guoguo: Older Brother Xiaobei, could you lend me one yuan and five jiao to buy a subway ticket? I forgot to bring my wallet."
节目,節目,jié mù,"program
item (on a program)",校长还发了节目单，一共有二十多个节目，最后四个是音乐家的。,校長還發了節目單，一共有二十多個節目，最後四個是音樂家的。,xiào zhǎng hái fā le jié mù dān ， yí gòng yǒu èr shí duō ge jié mù ， zuì hòu sì ge shì yīn yuè jiā de 。,"The president also sent the program list. There are more than twenty performances in total, and the last four are by musicians."
音乐家,音樂家,yīn yuè jiā,musician,高天：校长在邮件里说，学校会请三四位有名的年轻音乐家来参加文化节。,高天：校長在郵件裡說，學校會請三四位有名的年輕音樂家來參加文化節。,gāo tiān ： xiào zhǎng zài yóu jiàn lǐ shuō ， xué xiào huì qǐng sān sì wèi yǒu míng de nián qīng yīn yuè jiā lái cān jiā wén huà jié 。,Gao Tian: The president mentioned in the email that the university will invite three or four famous young musicians to the culture festival.
唱歌,唱歌,chàng gē,to sing a song,Anne：我对唱歌比较感兴趣，但我唱得不好。我的爱好是听音乐。,Anne：我對唱歌比較感興趣，但我唱得不好。我的愛好是聽音樂。,Anne ： wǒ duì chàng gē bǐ jiào gǎn xìng qù ， dàn wǒ chàng de bù hǎo 。 wǒ de ài hào shì tīng yīn yuè 。,"Anne: I’m more interested in singing, but I’m not good at it. My hobby is listening to music."
爱好,愛好,ài hào,"interest
hobby",Anne：你对音乐感兴趣吗？你的爱好是什么？,Anne：你對音樂感興趣嗎？你的愛好是什麼？,Anne ： nǐ duì yīn yuè gǎn xìng qù ma ？ nǐ de ài hào shì shén me ？,Anne: Are you interested in music? What are your hobbies?
节,節,jié,"festival
holiday",高天：关于每年一次的校园音乐文化节。校长说欢迎大家都参加。,高天：關於每年一次的校園音樂文化節。校長說歡迎大家都參加。,gāo tiān ： guān yú měi nián yí cì de xiào yuán yīn yuè wén huà jié 。 xiào zhǎng shuō huān yíng dà jiā dōu cān jiā 。,Gao Tian: It’s about the annual campus music and culture festival. The president said everyone is welcome to participate.
文化,文化,wén huà,"culture
civilization
cultural",高天：关于每年一次的校园音乐文化节。校长说欢迎大家都参加。,高天：關於每年一次的校園音樂文化節。校長說歡迎大家都參加。,gāo tiān ： guān yú měi nián yí cì de xiào yuán yīn yuè wén huà jié 。 xiào zhǎng shuō huān yíng dà jiā dōu cān jiā 。,Gao Tian: It’s about the annual campus music and culture festival. The president said everyone is welcome to participate.
校园,校園,xiào yuán,campus,高天：关于每年一次的校园音乐文化节。校长说欢迎大家都参加。,高天：關於每年一次的校園音樂文化節。校長說歡迎大家都參加。,gāo tiān ： guān yú měi nián yí cì de xiào yuán yīn yuè wén huà jié 。 xiào zhǎng shuō huān yíng dà jiā dōu cān jiā 。,Gao Tian: It’s about the annual campus music and culture festival. The president said everyone is welcome to participate.
